id;status;deadline;priority;proposed_date;current_condition;propose_amendment;reason_for_change;rejection_reason;progress
1;CHANGE_REQUEST_SUBMITED;2019-10-26;LOW;2019-10-25;Chicken payment;Mill deliver XSS;indexing Lead;leading-edge enable synthesize;58
2;IMPLEMENT_CHANGE;2019-10-25;HIGH;2019-10-25;Operations Sports violet;Dynamic;Principal;invoice;38
3;ANALYSE_CHANGE_REQUEST;2019-10-26;LOW;2019-10-25;Fiji;system engine haptic Moldova;Generic;interface zero administration networks;12
4;IMPLEMENT_CHANGE;2019-10-26;MEDIUM;2019-10-25;Universal;supply-chains Licensed connecting;Sleek Rubber Computer Solutions;invoice Cambridgeshire;59
5;CHANGE_REQUEST_SUBMITED;2019-10-25;LOW;2019-10-25;navigate Idaho Seamless;object-oriented;navigating New Leu primary;Savings Account Landing Delaware;16
6;ANALYSE_CHANGE_REQUEST;2019-10-25;MEDIUM;2019-10-26;deposit;sky blue deposit;benchmark;Sleek Wooden Chips bi-directional;60
7;ANALYSE_CHANGE_REQUEST;2019-10-25;HIGH;2019-10-25;front-end Product bypass;Generic;Savings Account monetize one-to-one;extensible Practical Granite Bacon;6
8;REVIEW_CLOSE_CHANGE;2019-10-25;HIGH;2019-10-26;collaboration Aruban Guilder;reintermediate efficient Producer;Hill Awesome Rubber Computer;Directives payment override;17
9;CHANGE_REQUEST_SUBMITED;2019-10-25;LOW;2019-10-26;enhance Cotton Liaison;Producer;generate Switchable Kyat;Money Market Account;9
10;REVIEW_CLOSE_CHANGE;2019-10-25;LOW;2019-10-26;contingency;viral;Incredible Integration;Bedfordshire navigating;28
