id;sales_order_number;date_raised;so_sales_status;second_sales_reference;currency_code;exchange_rate;discount_percent;contact_name;our_contact;invoice_address;invoice_country_code;sales_order_title;sales_analysis_1;sales_analysis_2;sales_analysis_3;sales_analysis_4;sales_analysis_5;sales_analysis_6;memo_1;memo_2;memo_3;memo_4;memo_5;memo_6;stock_analysis_01;stock_analysis_02;stock_analysis_03;stock_analysis_04;stock_analysis_05;stock_analysis_06;stock_analysis_07;stock_analysis_08;stock_analysis_09;stock_analysis_10;delivery_code;transaction_code;code;sales_order_status_code;despatch_status_id;division;line_number;despatch_status_code;quantity_ordered;quantity_outstanding;quantity_despatched;despatch_date;cust_required_date;unit_price;unit_pricein_base;line_discount_percent;margin_percent;line_total;line_totalin_base;tax_code;nominal_code;on_hold;r_code;standard_margin;delivery_address;delivery_address_description;delivery_country_code;sales_order_status
1;olive Assistant Incredible;2019-10-26;Handmade Plastic Pizza;protocol Steel;SVC USD;transmit invoice program;85;Checking Account Fantastic Buckinghamshire;fresh-thinking;utilize Incredible Plastic Towels Generic;West Virginia Taka Industrial;Taiwan;Taka;Cambridgeshire;Reactive Cape Steel;whiteboard composite Synergistic;engineer;Marketing;transitional Garden;Streets Optimized;silver Kids;killer;hack cyan;Cambridgeshire Locks Tennessee;Bangladesh payment;Multi-lateral program;projection intermediate Nebraska;Frozen;port target Ball;Fresh Credit Card Account Gorgeous Soft Shirt;Small;Buckinghamshire;port;circuit Awesome Fresh Shoes;end-to-end;bypass system engine Refined;Concrete Texas;local area network solid state Chief;functionalities seize;Technician Ergonomic Australian Dollar;Maryland Web;feed Games Ball;71304;87551;66638;2019-10-26;2019-10-25;27843;76103;12960;95077;67610;70254;data-warehouse Sleek bluetooth;Associate Fantastic;false;syndicate ADP Locks;11097;withdrawal;clicks-and-mortar Refined Soft Mouse architectures;applications program reintermediate;Row THX indigo
2;quantify Home enable;2019-10-25;Soft card;deposit whiteboard sensor;CZK;Senior 5th generation;37;Licensed Wooden Cheese Borders attitude-oriented;Lek Implemented National;Clothing Frozen web-readiness;interface internet solution;Money Market Account Clothing Trail;Sleek Cotton Chicken copy Springs;override;Frozen RAM;Movies navigate;leading-edge Ball synergies;encompassing;firewall Future-proofed withdrawal;Toys monitoring;Virgin Islands, British IB;Toys Internal multi-byte;high-level maroon Gloves;Handmade Concrete Sausages Phased Berkshire;Sleek Metal Car West Virginia Representative;haptic;payment invoice Arkansas;sticky Re-contextualized orchid;Investor;virtual Indiana Frozen;New Zealand Regional Chicken;scalable collaborative;B2B sensor Togo;feed;Canadian Dollar;Health deposit Canyon;web services;Saint Martin;dot-com;Codes specifically reserved for testing purposes Generic upward-trending;connect Malta Table;Awesome Wooden Pizza Manors;20918;89767;4997;2019-10-25;2019-10-25;13699;98119;99498;79314;52723;85378;Profound Research;invoice;false;repurpose Metrics Mayotte;21911;Lights;Savings Account Intelligent Rubber Chair Supervisor;synthesizing;National Quality Markets
3;Metrics Producer;2019-10-26;RSS;card Enterprise-wide withdrawal;RON;Chips Rhode Island program;50;Sports Jewelery;cultivate Czech Republic;deposit gold circuit;Buckinghamshire primary Managed;Tools;Dynamic Music;bottom-line recontextualize Principal;Avon Buckinghamshire Berkshire;evolve back up;Tasty Cotton Towels executive Auto Loan Account;Innovative New Hampshire killer;overriding Dynamic;Principal Small Cambridgeshire;back up;Industrial;Pizza;context-sensitive Group Oklahoma;New Jersey convergence;program;Plastic;Human Configuration;strategize transmit indexing;Borders teal Illinois;empowering;TCP orchid;robust;Accountability;Lake Licensed;backing up parallelism Baht;world-class hacking Cambridgeshire;Aruba discrete;Program embrace;generate Toys;Sleek Plastic Car matrix;Diverse;30419;1009;30394;2019-10-26;2019-10-26;88273;147;5190;72934;19111;96684;Re-engineered;payment applications;true;Money Market Account National;81802;Sharable client-server Cotton;Principal redundant;ivory index Montenegro;withdrawal
4;relationships;2019-10-25;Games reciprocal Borders;Web;AUD;executive Personal Loan Account;29;panel quantify;haptic;Bedfordshire holistic Division;Chicken Fish Practical;Direct Pula bus;global Jewelery Intelligent Wooden Pants;open-source;Pizza Metal input;Michigan Infrastructure Bedfordshire;Avon Buckinghamshire;circuit implement;optical;Jewelery;Personal Loan Account indexing Intelligent;firewall calculating;Venezuela Australia;Bedfordshire sensor;Wooden Data hard drive;architect Fresh SAS;Guyana Dollar;dynamic SAS;Buckinghamshire Gorgeous Plastic Soap Intranet;parsing Investor Computers;Car salmon Home;collaboration best-of-breed;Tactics mindshare;maximize Gorgeous Soft Pants asymmetric;cross-platform Gourde US Dollar;Intelligent Cotton Shirt;Technician wireless alarm;indigo;1080p Checking Account;eco-centric value-added functionalities;Movies Motorway Officer;Designer;11330;97895;40360;2019-10-25;2019-10-25;18981;70455;58218;42272;20444;34652;optimize mission-critical;Berkshire;true;withdrawal;54960;Yemeni Rial Rubber;Rustic Unbranded;Incredible Cotton Computer Nepalese Rupee Plaza;payment
5;deposit;2019-10-25;incentivize North Dakota River;Home Loan Account interface dedicated;NPR;CSS;95;Practical;Personal Loan Account;capacitor;Electronics quantify Credit Card Account;Aruban Guilder e-commerce;incubate;Optimized Views Integration;bus Savings Account;Dominican Peso Technician Sleek;index;Unbranded;Unbranded redundant AGP;convergence system Industrial;Polarised New Zealand;Reactive microchip Handcrafted;programming;circuit;Computers;red analyzing;Senior;Landing program;Credit Card Account Checking Account;Tactics programming;revolutionize Cambridgeshire interactive;maroon Home Loan Account compress;Designer actuating navigate;Dynamic South Carolina;global PCI;Internal deposit neural;e-commerce AGP;bus supply-chains;Nigeria Frozen;Practical Fresh Hat regional e-markets;orange;Berkshire Practical Granite Chair;92711;21002;10539;2019-10-26;2019-10-25;71296;40967;1149;65517;40877;26023;Computer Hat Licensed Concrete Sausages;program transmitter;true;Court virtual Home;92456;convergence;El Salvador out-of-the-box;Refined PNG;conglomeration Forward Data
6;withdrawal;2019-10-26;value-added Synergized;Unbranded;JOD;South Georgia and the South Sandwich Islands;50;sky blue SAS;IB cutting-edge Shoals;synergies Money Market Account;Ramp;Fish Jamaican Dollar;Avon;Fish Sports;Romania haptic capacity;Incredible Grocery;circuit;Cross-platform turn-key Awesome;Granite;Money Market Account;Car;morph;one-to-one;Intranet Personal Loan Account Massachusetts;index EXE;Som El Salvador Colon US Dollar Mouse;groupware Taiwan;deposit United States of America;New Zealand Dollar;Frozen magnetic;Developer;yellow unleash;Djibouti Franc generate Group;Kids optical Handcrafted Granite Shirt;THX magenta;Team-oriented Shoes feed;program Stravenue;overriding Avon B2B;Kazakhstan Bedfordshire transmitting;XML Bridge;niches;auxiliary Product;20347;20795;6697;2019-10-26;2019-10-25;47926;38940;18172;54176;74308;96806;Awesome Metal Chips Practical syndicate;Administrator Vision-oriented Infrastructure;false;Fields;7000;array Checking Account;dynamic Islands protocol;synergistic Solutions;gold invoice
7;implement invoice;2019-10-26;Awesome Ergonomic Rubber Cheese interfaces;haptic navigate;TRY;Buckinghamshire Steel Danish Krone;62;navigate Tuna pink;scale Salad Reverse-engineered;Investment Account invoice;COM New Caledonia hack;Lakes;port aggregate Kansas;Persistent;ADP;International Buckinghamshire salmon;Ohio;deploy;Prairie Data ROI;Pataca motivating;calculate Function-based Estonia;turquoise Cedi olive;compressing Handcrafted Soft Bacon;online parse indigo;synthesize;intuitive eyeballs Health;4th generation;SCSI Stand-alone;deposit SMTP;hardware Dynamic XML;circuit;Technician bypassing;compress multi-byte protocol;Refined Agent task-force;neural Dong Industrial;Organized Incredible Cotton Gloves;Solutions;cutting-edge redundant Alabama;Handcrafted;Advanced;Shoes;Credit Card Account copy Rustic Fresh Hat;61952;534;56339;2019-10-25;2019-10-25;41481;86443;40233;58693;39059;58095;Orchestrator;system Sudanese Pound Cotton;true;New Jersey;86841;cultivate harness Home Loan Account;turquoise Architect;Borders SAS Road;Home Loan Account Tasty Granite Bacon Indian Rupee Ngultrum
8;PCI Tasty Corporate;2019-10-25;Handcrafted Metal Chicken Technician;leading edge;CHF;invoice Investment Account Mouse;71;Pass;Street Directives Small Metal Cheese;Savings Account;Street Squares Codes specifically reserved for testing purposes;New Zealand Cambridgeshire transition;New Hampshire;motivating Senior Pennsylvania;Fantastic Checking Account;Movies communities Unbranded;Personal Loan Account Team-oriented;payment tan JBOD;Czech Koruna scale virtual;back-end Manager Electronics;Nuevo Sol Personal Loan Account Investment Account;synthesizing Rustic Plastic Pants Practical Frozen Shirt;Bolivar Fuerte Chief architecture;extend Practical Concrete Mouse;Loop;value-added;Rustic;Granite Strategist;Chips Cotton Home;digital;withdrawal;Ameliorated;compressing;virtual Quetzal;Manager;solid state;navigate;JBOD;asymmetric;Buckinghamshire;hard drive;back-end Granite;58069;78055;50550;2019-10-26;2019-10-26;31168;62399;314;27364;17424;48783;Practical Way Graphic Interface;protocol full-range bleeding-edge;false;front-end Norway Consultant;66420;orange Awesome Wooden Pizza Wyoming;Chief implement sky blue;Run withdrawal;Buckinghamshire quantifying
9;Fresh redundant;2019-10-26;Tenge;generate Fresh;CZK;Creative Hat Oregon;58;Cambridgeshire withdrawal;Designer;scale withdrawal Wooden;CSS Ball;tan Shirt programming;Personal Loan Account;Designer Maine;cross-platform;solid state;Senior efficient;generating cross-platform Chips;Electronics Down-sized Tajikistan;Persevering optimizing;Auto Loan Account;auxiliary Investment Account;Decentralized high-level Guam;Gorgeous;Up-sized Program;mission-critical azure Seamless;Mississippi Health input;Soap Buckinghamshire convergence;matrix Accounts;repurpose indexing;Kwanza;green world-class Bedfordshire;European Unit of Account 9(E.U.A.-9) Mission;Avon Generic Steel Ball Swaziland;Configuration Officer;Shoes Field Fundamental;Route;Frozen Savings Account upward-trending;Iceland Krona;digital streamline;Connecticut invoice white;Bolivar Fuerte Tennessee;92914;92735;38732;2019-10-26;2019-10-26;31804;1915;74942;82685;43111;52473;copy;action-items;false;time-frame;29377;Unbranded Metal Ball Home Loan Account payment;encoding;Personal Loan Account Personal Loan Account Buckinghamshire;uniform encompassing
10;Branch Singapore Dollar Pitcairn Islands;2019-10-26;methodologies virtual;intuitive;BGN;applications;26;rich;United Arab Emirates Officer Identity;Implementation Rustic Wooden Bike;pixel;Pants;Lock Global white;Center;Legacy invoice;Florida;secondary Soft Brand;Health fuchsia deposit;interface SCSI;Legacy Product;open architecture;grid-enabled;microchip;seamless applications transmitting;Fish;Bouvet Island (Bouvetoya) national;Paradigm Rubber;e-commerce Soap Cotton;customized Incredible Concrete Fish;payment;Licensed COM Norfolk Island;District mesh throughput;Refined;neural;Awesome;Island;Tasty;white Unbranded Rubber Cheese;Kwanza Credit Card Account EXE;Refined;multi-byte;knowledge base Functionality navigating;98356;79357;25967;2019-10-26;2019-10-25;78205;43123;24007;34751;14430;5034;Small Metal Hat;white Orchestrator;true;Rubber;68876;Internal transmit;Turnpike;cross-platform Bacon;knowledge user
