id;why_1_occurrance;why_2_occurrance;why_3_occurrance;why_4_occurrance;why_5_occurrance;why_1_detection;why_2_detection;why_3_detaction;why_4_detection;why_5_detection;root_cause;problem;nonconformance_id
1;mobile Fish;Home Loan Account Table Computer;Trace;Savings Account alarm;Tasty Metal Bacon;red Chips Soap;Home Loan Account;web-readiness;Namibia;Steel zero administration;Multi-channelled Licensed;grey Cambridgeshire;59241
2;Refined Rubber Chicken Table;Automotive;Planner cross-platform access;Public-key;infomediaries;Investment Account;Games Regional Digitized;copy convergence;Mayotte;Industrial;connect Markets Chief;capacitor archive;57044
3;Aruba;software scale interactive;Louisiana Specialist Home Loan Account;Plastic;Car Industrial deliverables;orange Books;magenta monitor 1080p;Unbranded Plastic Tuna Frozen;generating Highway Ergonomic;moratorium moratorium;New York tangible Mississippi;Frozen bus;76078
4;Idaho compress Avon;system Small;Intelligent Outdoors;Harbor Montana;Corporate Phased relationships;white Brand Money Market Account;Salad Web virtual;Refined Squares;maroon;EXE projection Fresh;support Gorgeous;withdrawal;52
5;cutting-edge ability Hat;supply-chains magenta;encompassing;Directives;sky blue;Kenyan Shilling robust;Versatile Exclusive Moroccan Dirham;capability zero tolerance Computers;Analyst paradigms;encompassing;deposit Canadian Dollar Lebanon;Designer Persistent;67213
6;navigate;Re-contextualized;web-enabled invoice withdrawal;bypassing optical;installation;Argentine Peso;Kentucky Algerian Dinar Clothing;open-source turn-key;Sausages;disintermediate Cambridgeshire hacking;bricks-and-clicks Concrete Global;Fiji Dollar Profound Bacon;98216
7;Borders content-based;Tasty Customer Human;pink even-keeled;bus Internal AI;THX bypassing Marketing;Dynamic Home Loan Account Tools;Branding;Home Gloves Latvia;Ports Manager Fish;Networked;Fish;payment calculating;65761
8;Nevada;Berkshire;dedicated Persevering;Coordinator Cambridgeshire Investor;cross-platform Borders;Libyan Dinar CSS;sensor;Alaska;deposit Chips Applications;uniform PCI back up;Tactics architectures Planner;Facilitator Incredible functionalities;19091
9;eco-centric Bedfordshire mesh;Configuration UIC-Franc;Ergonomic Concrete Soap Zambian Kwacha;Concrete Bedfordshire;portal calculating Metal;real-time discrete redundant;Synergistic Personal Loan Account Sleek;Borders;olive Handcrafted Cotton Bacon Unbranded Fresh Pants;incubate;interfaces;Garden Dale Wallis and Futuna;28654
10;Utah Computers Small Fresh Gloves;Brunei Darussalam interface;compress lavender Investment Account;backing up;Iran;Philippine Peso Metal;Strategist;card Licensed Cotton Ball;mindshare Gorgeous;Chips;navigating;Som Rustic Frozen Keyboard ROI;23978
