id;part_number;part_description;release_date;product_group_code;site;departament;method_type;method_status;prime;unit_of_measure;supplier_part_number;supplier_part_description;curency;lead_time;min_quantity;latest_unit_material_cost;cost_in_supplier_currency;supplier_price;cost_in_base_currency;scrap_percentage;on_hand_stock;standard_component_cost;standard_sub_contract_cost;standard_unit_material_cost;standard_set_cost;standard_run_cost;standard_landed_cost_1;standard_landed_cost_2;standard_landed_cost_3;comment_1;comment_2;comment_3;review_date_1;review_date_2;review_date_3;standard_total_cost;min_barch_size;obsolete;order_multipler
1;mobile Fish;Home Loan Account Table Computer;2019-12-03;FTP Savings Account;deposit Tasty Metal Bacon Implementation;Chips;Money Market Account;Albania web-readiness;false;Investment Account Steel;Coordinator;Common;Savings Account syndicate Planner;46676;4645;85994;60754;68030;17052;45049;6505;1326;94888;94220;96563;56328;80839;38541;30461;Intelligent;Monitored Bahamian Dollar Investment Account;Games Regional Digitized;2019-12-03;2019-12-03;2019-12-03;42515;52006;false;54671
2;Chair Facilitator;Views e-enable Communications;2019-12-03;archive Georgia Aruba;software scale interactive;Louisiana Specialist Home Loan Account;Plastic;Car Industrial deliverables;false;24 hour;overriding;monitor 1080p Checking Account;world-class Frozen IB;62329;44945;33089;9541;6355;37081;31098;66884;32518;66592;72960;59129;63755;27472;88721;56124;embrace Developer;synthesize Idaho compress;Sleek Metal Table Small;2019-12-03;2019-12-03;2019-12-03;3142;89576;true;47537
3;Montana;Corporate Phased relationships;2019-12-03;User-centric;Money Market Account;Salad Web virtual;Refined Squares;maroon;true;Ghana back-end National;Direct;Profit-focused;Jewelery cutting-edge;30478;695;16465;51074;53408;41741;48482;22210;69243;11986;26941;33761;24412;94290;16829;32320;Mauritania;facilitate Tasty Concrete Chips Exclusive;Buckinghamshire capability zero tolerance;2019-12-03;2019-12-03;2019-12-03;97661;50267;false;5147
4;encompassing;deposit Canadian Dollar Lebanon;2019-12-03;Dominican Republic Credit Card Account Handmade;Ergonomic transmitter;Point Orchestrator;Solomon Islands Licensed;Gloves Bedfordshire Argentine Peso;true;neural-net red;Buckinghamshire Future-proofed deposit;Quality;synthesize Creative;13752;67569;34106;73521;11347;20907;92469;54144;87733;69578;25794;22855;65998;17495;81722;98216;Borders content-based;Tasty Customer Human;pink even-keeled;2019-12-03;2019-12-03;2019-12-03;89711;85632;true;40450
5;THX bypassing Marketing;Dynamic Home Loan Account Tools;2019-12-03;invoice Home Gloves;Buckinghamshire Ports;Devolved driver Networked;Fish;payment calculating;true;Nevada;Berkshire;dedicated Persevering;Coordinator Cambridgeshire Investor;43439;79481;35007;50263;64510;57690;66892;49251;86416;19524;23018;72245;49919;28077;57200;2431;deposit Chips Applications;uniform PCI back up;Tactics architectures Planner;2019-12-02;2019-12-02;2019-12-03;7534;29444;false;38509
6;compressing;Bedfordshire;2019-12-03;matrix calculating;Arkansas Intelligent Credit Card Account;intuitive Open-architected system-worthy;program;Metal array France;false;schemas Synergistic Personal Loan Account;Avon;Auto Loan Account olive;Yen;79579;5076;89000;88661;33799;2761;37558;57886;9398;43847;57828;67202;3594;32815;46559;15504;Specialist generating;Computers Small Fresh Gloves back-end;interface;2019-12-03;2019-12-03;2019-12-03;21582;96525;true;45726
7;backing up;Iran;2019-12-03;deposit panel Strategist;card Licensed Cotton Ball;mindshare Gorgeous;Chips;navigating;true;paradigms Salad Table;Optimized;microchip;Response invoice;51669;73789;65711;55435;43567;61172;73003;41960;4771;24773;56603;35597;15864;75784;12016;1439;Wooden Ergonomic Steel Gloves;Developer Shoes Music;Buckinghamshire Hollow Shoes;2019-12-03;2019-12-03;2019-12-03;4805;61585;true;63509
8;Gorgeous Cotton Chair Personal Loan Account Borders;Norfolk Island Chilean Peso Unidades de fomento Checking Account;2019-12-02;Solutions COM;Data North Dakota;North Carolina Granite;Somalia Web revolutionize;invoice teal analyzing;false;utilize;Generic;robust withdrawal generate;Garden open-source hybrid;11816;69289;69673;34833;62894;93664;87747;3918;73507;41794;80348;96758;28203;54797;17743;42347;South Dakota Wyoming interface;incentivize;Louisiana JSON Texas;2019-12-03;2019-12-03;2019-12-03;75087;73990;true;23823
9;iterate;Berkshire navigating;2019-12-03;Direct;Small Frozen Salad bypassing;time-frame Quality;Borders Borders Practical;methodical;false;Danish Krone parse;neural Wooden Optimization;Tasty Rubber Car mindshare EXE;bandwidth Liaison;68803;76151;83696;61821;86686;10112;83848;8410;42609;70096;22257;7276;39665;82186;89189;70624;Sleek;Visionary;exploit transition;2019-12-03;2019-12-03;2019-12-02;90769;98600;true;75337
10;repurpose Sleek;mesh system Triple-buffered;2019-12-03;supply-chains;Tools;Arizona hack;Fresh payment synthesize;Versatile seize;false;Refined;Mandatory Assistant;Strategist;Incredible Fresh Car Tuvalu;99296;91911;7379;25299;55385;69541;96930;7543;52309;16621;62939;21680;69574;29449;45454;99583;Naira iterate;Unbranded Plastic Chips Brand Regional;Generic B2B;2019-12-03;2019-12-03;2019-12-03;46369;38826;false;22939
